season,team_id,team,team_season_id,snapshot_date,checkpoint_pct,dataset_role,made_playoffs,season_pct,points_per_game,win_pct,goal_diff_per_game,last_5_points,last_5_goal_diff,points_rank_pct,points_gap_to_cutline,playoff_share,games_played,scheduled_games,games_remaining,league_teams,playoff_spots,points,match_points,points_adjustment,wins,draws,losses,goals_for,goals_against,goal_diff,cutline_points,last_5_games,last_match_date,baseline_top_k,source_url
2016,15365,Washington Spirit,2016_15365,2016-08-31,0.8,train,Yes,0.8,2.1875,0.6875,0.75,12,4,0.0,8,0.4,16,20,4,10,4,35,35,0,11,2,3,26,14,12,27,5,2016-08-26,Yes,https://site.api.espn.com/apis/site/v2/sports/soccer/usa.nwsl/scoreboard?dates=2016&limit=1000
2016,15360,Chicago Red Stars,2016_15360,2016-08-31,0.8,train,Yes,0.8,1.75,0.5,0.1875,10,2,0.2222222222222222,1,0.4,16,20,4,10,4,28,28,0,8,4,4,17,14,3,27,5,2016-08-27,Yes,https://site.api.espn.com/apis/site/v2/sports/soccer/usa.nwsl/scoreboard?dates=2016&limit=1000
2016,15366,Western New York Flash,2016_15366,2016-08-31,0.8,train,Yes,0.8,1.6875,0.5,0.6875,6,0,0.3333333333333333,0,0.4,16,20,4,10,4,27,27,0,8,3,5,31,20,11,27,5,2016-08-27,Yes,https://site.api.espn.com/apis/site/v2/sports/soccer/usa.nwsl/scoreboard?dates=2016&limit=1000
2016,15363,Seattle Reign FC,2016_15363,2016-08-31,0.8,train,No,0.8,1.4375,0.375,0.375,7,3,0.4444444444444444,-4,0.4,16,20,4,10,4,23,23,0,6,5,5,21,15,6,27,5,2016-08-27,No,https://site.api.espn.com/apis/site/v2/sports/soccer/usa.nwsl/scoreboard?dates=2016&limit=1000
2016,15361,FC Kansas City,2016_15361,2016-08-31,0.8,train,No,0.8,1.0,0.25,-0.3125,6,-2,0.8333333333333334,-11,0.4,16,20,4,10,4,16,16,0,4,4,8,11,16,-5,27,5,2016-08-28,No,https://site.api.espn.com/apis/site/v2/sports/soccer/usa.nwsl/scoreboard?dates=2016&limit=1000
2016,15364,Sky Blue FC,2016_15364,2016-08-31,0.8,train,No,0.8,1.375,0.375,-0.25,9,-1,0.5555555555555556,-5,0.4,16,20,4,10,4,22,22,0,6,4,6,19,23,-4,27,5,2016-08-27,No,https://site.api.espn.com/apis/site/v2/sports/soccer/usa.nwsl/scoreboard?dates=2016&limit=1000
2016,17346,Houston Dash,2016_17346,2016-08-31,0.8,train,No,0.8,1.0,0.25,-0.0625,6,1,0.8333333333333334,-11,0.4,16,20,4,10,4,16,16,0,4,4,8,19,20,-1,27,5,2016-08-31,No,https://site.api.espn.com/apis/site/v2/sports/soccer/usa.nwsl/scoreboard?dates=2016&limit=1000
2016,18206,Orlando Pride,2016_18206,2016-08-31,0.8,train,No,0.8,1.125,0.375,-0.375,3,-5,0.6666666666666666,-9,0.4,16,20,4,10,4,18,18,0,6,0,10,15,21,-6,27,5,2016-08-26,No,https://site.api.espn.com/apis/site/v2/sports/soccer/usa.nwsl/scoreboard?dates=2016&limit=1000
2016,15359,Boston Breakers,2016_15359,2016-08-31,0.8,train,No,0.8,0.625,0.1875,-1.375,6,-1,1.0,-17,0.4,16,20,4,10,4,10,10,0,3,1,12,10,32,-22,27,5,2016-08-31,No,https://site.api.espn.com/apis/site/v2/sports/soccer/usa.nwsl/scoreboard?dates=2016&limit=1000
2017,15366,North Carolina Courage,2017_15366,2017-06-24,0.4,train,Yes,0.4583333333333333,2.1818181818181817,0.7272727272727273,0.6363636363636364,12,6,0.0,9,0.4,11,24,13,10,4,24,24,0,8,0,3,18,11,7,15,5,2017-06-24,Yes,https://site.api.espn.com/apis/site/v2/sports/soccer/usa.nwsl/scoreboard?dates=2017&limit=1000
